,movie_code,duration,facenumber_in_poster,country,budget,gross,num_voted_users,num_user_for_reviews,num_critic_for_reviews,movie_facebook_likes,director_facebook_likes,actor_1_facebook_likes,actor_2_facebook_likes,actor_3_facebook_likes,cast_total_facebook_likes,imdb_score,imdb_score_class
2914,2915,118.0,0.0,Canada,12500000.0,1089445.0,2676,33.0,41.0,0,50.0,968.0,844.0,655.0,4270,7.0,Good
2662,2663,101.0,0.0,USA,15000000.0,24881000.0,57140,195.0,93.0,6000,26.0,838.0,328.0,266.0,1812,6.2,Good
2030,2031,110.0,4.0,Germany,24000000.0,25167270.0,30119,263.0,156.0,455,119.0,11000.0,592.0,265.0,12254,6.3,Good
4378,4379,106.0,1.0,Mexico,,12589108.0,5526,58.0,75.0,0,36.0,953.0,399.0,345.0,2198,7.4,Good
4041,4042,99.0,0.0,USA,,2277396.0,29239,70.0,122.0,0,6.0,828.0,390.0,194.0,1936,7.2,Good
2158,2159,94.0,2.0,USA,20000000.0,121697350.0,114610,176.0,61.0,0,122.0,1000.0,619.0,617.0,4263,7.0,Good
302,303,111.0,4.0,USA,150000000.0,34964818.0,39956,186.0,256.0,24000,456.0,20000.0,548.0,394.0,21393,5.8,Fair
3956,3957,120.0,0.0,Russia,4000000.0,,2488,3.0,8.0,282,0.0,114.0,45.0,22.0,183,7.5,Good
2080,2081,127.0,0.0,USA,22000000.0,217631306.0,154199,252.0,77.0,0,109.0,2000.0,956.0,71.0,3100,7.0,Good
1709,1710,511.0,0.0,Iceland,,,2308,19.0,16.0,0,,147.0,63.0,51.0,307,8.2,Excellent
2758,2759,94.0,2.0,USA,14500000.0,,993,13.0,5.0,998,5.0,467.0,220.0,124.0,994,6.2,Good
2876,2877,112.0,1.0,USA,13000000.0,3169424.0,18442,59.0,104.0,689,37.0,748.0,573.0,548.0,2417,6.8,Good
3409,3410,108.0,2.0,USA,8000000.0,568695.0,16617,110.0,74.0,412,12.0,2000.0,844.0,710.0,3921,6.5,Good
4071,4072,100.0,0.0,USA,3000000.0,11694528.0,7721,72.0,114.0,635,1000.0,989.0,744.0,220.0,2165,7.2,Good
4598,4599,82.0,0.0,USA,1000000.0,12996.0,1938,54.0,29.0,210,82.0,2000.0,571.0,490.0,3905,6.0,Fair
2422,2423,86.0,1.0,USA,18000000.0,23993605.0,52467,248.0,190.0,0,62.0,390.0,258.0,59.0,727,5.8,Fair
1413,1414,105.0,2.0,USA,35000000.0,67962333.0,33887,160.0,104.0,919,8.0,1000.0,358.0,278.0,2689,5.9,Fair
2873,2874,93.0,1.0,UK,13000000.0,4919896.0,21530,159.0,111.0,618,16.0,567.0,326.0,258.0,1775,6.1,Good
3786,3787,91.0,0.0,USA,7000000.0,1040879.0,54478,184.0,83.0,0,0.0,387.0,96.0,65.0,648,7.1,Good
3123,3124,100.0,2.0,USA,10000000.0,29392418.0,3924,26.0,8.0,368,322.0,851.0,543.0,534.0,3190,5.8,Fair
3735,3736,100.0,0.0,USA,5000000.0,14343976.0,22961,291.0,129.0,1000,6.0,935.0,120.0,65.0,1327,4.5,Fair
2974,2975,107.0,1.0,USA,12000000.0,7918283.0,41574,145.0,288.0,0,27.0,664.0,591.0,360.0,2440,6.6,Good
1362,1363,90.0,0.0,USA,55000000.0,7871693.0,52908,102.0,118.0,0,27.0,13000.0,2000.0,260.0,15494,6.5,Good
3865,3866,134.0,4.0,India,,,781,7.0,9.0,62,0.0,327.0,82.0,62.0,496,4.7,Fair
1760,1761,115.0,0.0,Japan,30000000.0,,8227,28.0,62.0,0,21.0,173.0,59.0,47.0,386,6.5,Good
2173,2174,134.0,0.0,USA,20000000.0,56667870.0,439176,695.0,597.0,83000,0.0,2000.0,660.0,500.0,4251,8.1,Excellent
3472,3473,95.0,0.0,USA,5000000.0,34099640.0,16651,149.0,79.0,0,13.0,1000.0,934.0,430.0,2515,7.0,Good
4688,4689,86.0,0.0,USA,,3278611.0,2877,46.0,49.0,903,30.0,262.0,23.0,14.0,321,7.1,Good
2472,2473,89.0,1.0,Netherlands,17900000.0,,30215,95.0,59.0,0,130.0,444.0,312.0,183.0,1243,5.0,Fair
4848,4849,96.0,0.0,USA,250000.0,,1905,58.0,78.0,249,5.0,431.0,338.0,180.0,1228,4.5,Fair
3992,3993,149.0,0.0,USA,3500000.0,,7071,83.0,25.0,930,160.0,157.0,139.0,75.0,646,7.6,Good
48,49,114.0,1.0,USA,195000000.0,65171860.0,106416,205.0,338.0,22000,0.0,979.0,557.0,140.0,1766,6.3,Good
4832,4833,80.0,1.0,USA,200000.0,856942.0,12241,112.0,189.0,0,129.0,375.0,44.0,26.0,460,7.1,Good
5029,5030,84.0,2.0,USA,,,156,3.0,,22,5.0,21.0,20.0,12.0,62,6.1,Good
1047,1048,120.0,1.0,USA,48000000.0,50173190.0,148490,537.0,140.0,0,34.0,18000.0,12000.0,1000.0,33615,7.4,Good
1167,1168,120.0,1.0,USA,42000000.0,24375436.0,42547,265.0,151.0,748,17.0,22000.0,9000.0,808.0,33585,6.1,Good
4151,4152,90.0,1.0,Australia,,,4173,32.0,57.0,0,18.0,130.0,96.0,39.0,362,6.1,Good
2192,2193,129.0,0.0,USA,20000000.0,37567440.0,113068,337.0,166.0,0,468.0,919.0,691.0,183.0,2024,6.9,Good
4286,4287,102.0,3.0,USA,2000000.0,1477002.0,16645,72.0,168.0,0,22.0,10000.0,1000.0,80.0,11184,6.9,Good
4077,4078,94.0,3.0,USA,,9016377.0,1004,8.0,16.0,143,9.0,927.0,209.0,200.0,1936,5.2,Fair
2314,2315,100.0,1.0,USA,20000000.0,5005883.0,29649,361.0,167.0,0,143.0,829.0,681.0,430.0,2295,6.1,Good
735,736,120.0,0.0,USA,65000000.0,100003492.0,293662,836.0,299.0,0,0.0,10000.0,851.0,680.0,13581,7.6,Good
4442,4443,82.0,0.0,Canada,1500000.0,,459,10.0,4.0,236,65.0,341.0,265.0,146.0,967,2.8,Bad
